1.cardName;Menino da Fazenda
737.cardText;{gift} - {swallow} uma criatura aliada.\n{production} - A criatura engolida ganha +4/+4.\n{activate} - Destrói esta estrutura.
737.cardName;Cristálida
736.cardText;{charge|3}, {flying} {gift} - Rasgue todos os <b>Mapas do Tesouro</b> em seu baralho em pedaços e ganhe +1/+1 para cada mapa rasgado.\nMapas a Rasgar:{dynamic_number|0|0}.
736.cardName;Gárgula Arcaica
735.cardText;{charge|5}, {flying}\n{last_words} Causa 5 de dano a todos os inimigos adjacentes.
735.cardName;Globo Thyriano
734.cardText;{jump}\nCausa 3 de dano a todos os inimigos adjacentes a onde esta criatura pousa.
734.cardName;Sorocco, o Imediato
733.cardText;{flying}, {jump}
733.cardName;Plana-Saltador
732.cardText;{discover} uma carta com custo total de terreno de 4 ou mais. Ela torna-se {wild}.
732.cardName;Expedição Thyriana
731.cardText;{flying}, {dash|2}
731.cardName;Robô Voador
730.cardText;{discover} 2 cartas não lendárias que custam {faeria|7} ou mais. Elas se tornam {wild}.
730.cardName;Especiaria de Cristal
729.cardText;Dê +3/+3, {charge|3}, e {flying} a uma criatura. Custa {faeria|3} a menos para cada criatura aliada que morreu neste turno.
729.cardName;Especiaria Espiritual
728.cardText;{discover} um evento do baralho de seu oponente. Ele se torna {wild} e custa {faeria|2} a menos.
728.cardName;Escambo
727.cardText;{flying}\n{gift} - Adicione um <b>Mapa do Tesouro</b> ao topo do seu baralho.\n{last_words} - Retorne Aranya à sua mão.
727.cardName;Aryana, Alma do Gagana
726.cardText;{gift} - Embaralhe um <b>Mapa do Tesouro</b> em seu baralho.
726.cardName;Vendedor de Mapas Amai
724.cardText;{flying}\n{gift} - {discover} uma carta não-lendária que custa {faeria|5}. Adicione as 2 cartas que você não pegou da mão do oponente. Elas se tornam {wild}.
724.cardName;Mercador Amai
723.cardText;{dash|1}\nNo final do seu turno, embaralhe 2 <b>Mapas do Tesouro</b> em seu baralho se esta criatura estiver em um terreno inimigo.
723.cardName;Aventureiro Keldran
722.cardText;No final do seu turno, dê +1/+1 a todos os outros Mecha e isto leva 1 de dano.
722.cardName;Junkfeet, o Cabeça de Sucata
721.cardText;Todos os mecha aliados causam 2 de dano aos inimigos adjacentes.
721.cardName;Detonar
720.cardText;{combat} - Invoca um Mecha 4/2 em um espaço adjacente aleatório.
720.cardName;Fragmentador
719.cardText;{production} - Ganha +3/+0.
719.cardName;Forjadura Instável
717.cardText;{dash|1}\nNo final do seu turno, reduza {faeria|1} em uma carta de sua mão se esta criatura estiver em um terreno inimigo.
717.cardName;Aventureiro Ogro
715.cardText;Você pode invocar esta criatura adjacente a uma criatura aliada que não seja verde.
715.cardName;Mascote Exótico
714.cardText;{discover} uma criatura com {taunt}. Ela se torna {wild} e ganha +0/+3.
714.cardName;Procurar Abrigo
713.cardText;{jump}\nFeras aliadas adjacentes ganham +2/+0.
713.cardName;Defensor de Feras Kodama
712.cardText;{gift} - {discover} uma Fera. Ela se torna {wild}.
712.cardName;Tiki Zoologista
711.cardText;{dash|1}\nNo final do seu turno, dê +1/+1 a todas as criaturas aliadas adjacentes se esta criatura estiver em um terreno inimigo.
711.cardName;Aventureiro Tiki
710.cardText;{jump}\nSempre que você descobre um Tesouro, Fugoro ganha +3/+3.
710.cardName;Fugoro, Capitão do Gagana
709.cardText;{jump}\n{gift} - Compre 3 cartas. Se qualquer uma delas for um <b>Mapa do Tesouro</b>, esta criatura ganha +2/+2.
709.cardName;Tritão Visionário
707.cardText;{gift} - Embaralhe um <b>Mapa do Tesouro</b> no seu baralho e compre uma carta.
707.cardName;Guardião Casco-Estrelado
706.cardText;Embaralhe 2 <b>Mapas do Tesouro</b> no seu baralho e compre uma carta.
706.cardName;Mensagem na Garrafa
705.cardText;{jump}\n{gift} - Movimente esta criatura.\nNo final do seu turno, compre uma carta se esta criatura estiver em um terreno inimigo.
705.cardName;Aventureiro Tritão
704.cardText;{flying}\n{gift} - Para cada carta em sua mão, adicione um <b>Mapa do Tesouro</b> ao seu baralho. Embaralhe sua mão no seu baralho e compre a mesma quantia de cartas.
704.cardName;Gagana, Caçador de Tesouros
703.cardText;{flying}, {charge|2}\n{gift} - Se o seu baralho não tiver cartas repetidas, ganhe {haste} e {protection}.\n{last_words} - Embaralhe Celeste de volta ao seu baralho.
703.cardName;Celeste, Dragão de Cristal
702.cardText;Dê a uma criatura aliada +1/+1 para cada inimigo adjacente.
702.cardName;Inspiração de Sharra
701.cardText;No final do seu turno, encontre um <b>Mapa do Tesouro</b> no seu baralho e coloque-o no topo. Se o seu baralho não tiver Mapas do Tesouro, embaralhe um nele.
701.cardName;Bússola de Gagana
9985.cardText;Reproduzir todas as animações globais
9985.cardName;Animar todas as coisas
