1.cardName;Giovane Contadino
742.cardText;{discover} una creatura. Ottiene +6/+6 e diventa {wild}.
742.cardName;Chiave dei Giganti
741.cardText;{options|{discover} una creatura verde.|{discover} una creatura blu.|{discover} una creatura rossa.|{discover} una creatura gialla.} colore. {discover} una creatura dello stesso colore. Diventa {wild} e costa {faeria|3} in meno.
741.cardName;Chiave degli Elementi
740.cardText;{divine}, {flying}, {dash|5}\n Deve essere evocata adiacente ad una creatura alleata.
740.cardName;Lancia dei Guardiani.
739.cardText;Le carte nella tua mano costano {faeria|1} in meno.
739.cardName;Simulacro dell'Obbedienza
738.cardText;{flying}, {dash|5}\n{gift} - Riempi la tua mano di <b>Lampo nel Vento</b>. Diventano {wild}.
738.cardName;Tappeto Magico
737.cardText;{gift} - {swallow} una creatura alleata.\n{production} - La creatura divorata ottiene +4/+4.\n{activate} - Distruggi questa struttura.
737.cardName;Cristallide
736.cardText;{charge|3}, {flying}, {gift} - Distruggi tutte le <b>Mappe del Tesoro</b> nel tuo mazzo e ottiene +1/+1 perogni mappa distrutta.\nMappe distrutte:{dynamic_number|0|0}
736.cardName;Antico Gargoyle
735.cardText;{charge|5}, {flying}\n{last_words} - Infligge 5 danni a tutti i nemici adiacenti.
735.cardName;Globo dei Thyrian
734.cardText;{jump}\nInfligge 3 danni a tutti i nemici adiacenti a dove questa creatura atterra.
734.cardName;Sorocco, Primo Ufficiale
733.cardText;{flying}, {jump}
733.cardName;Balzoplano
732.cardText;{discover} una carta con costo di terre totali 4 o maggiore. Diventa {wild}.
732.cardName;Spedizione Thyrian
731.cardText;{flying}, {dash|2}
731.cardName;Ariabot
730.cardText;{discover} 2 carte non leggendarie che costano {faeria|7} o più- Diventano {wild}.
730.cardName;Spezia di Cristallo
729.cardText;Dai +3/+3, {charge|3} e {flying} ad una creatura. Costa {faeria|3} in meno per ogni creatura alleata morta in questo turno.
729.cardName;Spezia dello Spirito
728.cardText;{discover} un evento dal mazzo del tuo avversario. Diventa {wild} e costa {faeria|2} in meno.
728.cardName;Baratto
727.cardText;{flying}\n{gift} - Aggiungi una <b>Mappa del Tesoro</b> in cima al tuo mazzo.\n{last_words} - Fai tornare Aryana nella tua mano.
727.cardName;Aryana, Anima di Gagana
726.cardText;{gift} - Mischia una <b>Mappa del Tesoro</b> nel tuo mazzo.
726.cardName;Mercante di mappe di Amai
724.cardText;{flying}\n{gift} - {discover} una carta non leggendaria che costa {faeria|5}. Aggiungi alla mano del tuo avversario le 2 carte che non hai scelto. Diventano tutte {wild}.
724.cardName;Mercante di Amai
723.cardText;{dash|1}\nAlla fine del tuo turno, mischia 2 <b>Mappe del Tesoro</b> nel tuo mazzo se questa creatura si trova su una terra nemica.
723.cardName;Avventuriero Keldran
722.cardText;Alla fine del tuo turno, dai +1/+1 a tutti gli altri Mech e questa creatura prende 1 danno.
722.cardName;Junkfeet, la Pila di Rifiuti
721.cardText;Tutti i Mech alleati infliggono 2 danni ai nemici adiacenti.
721.cardName;Detonare
720.cardText;{combat} - Evoca un Mech 4/2 in uno spazio adiacente casuale.
720.cardName;Frammentatore
719.cardText;{production} - Ottiene +3/+0.
719.cardName;Instabile della Forgia
717.cardText;{dash|1}\nAlla fine del tuo turno riduci il costo du una carta nella tua mano di {faeria|1} se questa creatura si trova su una terra nemica.
717.cardName;Orco Avventuriero
715.cardText;Può essere evocato adiacente alle creature non verdi alleate.
715.cardName;Animaletto Esotico
714.cardText;{discover} una creatura con {taunt}. Diventa {wild} e ottiene +0/+3.
714.cardName;Cercare Riparo
713.cardText;{jump}\nLe Bestie alleate adiacenti ottengono +2/+0.
713.cardName;Kodama Guardiabestie
712.cardText;{gift} - {discover} una Bestia. Diventa {wild}.
712.cardName;Zoologo Tiki
711.cardText;{dash|1}\Se questa creatura si trova su una terra avversaria alla fine del tuo turno, tutte le creature alleate adiacenti ottengono +1/+1.
711.cardName;Avventuriero Tiki
710.cardText;{jump}\nOgniqualvolta scopri un Tesoro, Fugoro ottiene +3/+3.
710.cardName;Fugoro, Capitano della Gagana
709.cardText;{jump}\n{gift} - Pesca 3 carte. Se una qualsiasi di esse è una <b>Mappa del Tesoro</b> questa creatura ottiene +2/+2.
709.cardName;Tritone Astronomo
707.cardText;{gift} - Mischia una <b>Mappa del Tesoro</b> nel tuo mazzo e pesca una carta.
707.cardName;Custode Gusciostella
706.cardText;Mischia 2 <b>Mappe del Tesoro</b> nel tuo mazzo e pesca una carta.
706.cardName;Messaggio in bottiglia
705.cardText;{jump}\n{gift} - Muovi questa creatura.\nAlla fine del tuo turno, se questa creatura si trova su una terra nemica, pesca una carta.
705.cardName;Avventuriero Tritone
704.cardText;{flying}\n{gift} - Per ogni carta nella tua mano, aggiungi una <b>Mappa del Tesoro</b> nel tuo mazzo. Mischia la tua mano nel tuo mazzo e pesca altrettante carte.
704.cardName;Gagana, Cercatrice di Tesori
703.cardText;{flying}, {charge|2}\n{gift} - Se il tuo mazzo ha solo 1 copia di ogni carta, ottiene {haste} e {protection}.\n{last_words} - Mischia Celeste nel tuo mazzo.
703.cardName;Celeste, Drago Cristallino
702.cardText;Dai +1/+1 ad una creatura alleata per ogni nemico adiacente.
702.cardName;Ispirazione di Sharra
701.cardText;Alla fine del tuo turno, trova una <b>Mappa del Tesoro</b> dal tuo mazzo e metticela in cima. Se il tuo mazzo non ha Mappe del Tesoro, mischiane una nel mazzo.
701.cardName;Bussola di Gagana
9985.cardText;Usa tutte le animazioni globali
9985.cardName;Anima tutte le cose
