1.cardName;ファームボーイ
674.cardText;{gift} - このクリーチャーがあなたの唯一のクリーチャーである場合、これは{taunt}と{protection}、{divine}を得る。
674.cardName;オーバースカイの守護者 ウラニ
673.cardText;{gift} - あなたのデッキにクリーチャーが残っていない場合、<b>帝国の飛行船 レディアンス</b>とランダムなニュートラルのクリーチャー10体をあなたのデッキに加え、シャッフルする。それらは+2/+2を得る。
673.cardName;レディアンスの船長 バノン
9986.cardText;手札を捨てる
9986.cardName;AIの手札を見る
800.cardText;カードを1枚引く。\n<b>宝の地図</b>を3枚プレイするたび、代わりに<b>ガガナーの宝物</b>を1枚{discover}する。\nプレイした宝の地図: {dynamic_number|0|0}枚。
800.cardName;宝の地図
749.cardText;ビーッ！ブーッ！
749.cardName;メカ
746.cardText;ビーッ！ブーッ！
746.cardName;メカ
745.cardText;{taunt}, {divine}
745.cardName;守護者
744.cardText;{taunt}, {divine}
744.cardName;守護者
743.cardText;{taunt}と{divine}を持つ5/5の守護者を2体召喚する。
743.cardName;守護者の鍵
742.cardText;クリーチャーを1体{discover}する。それは+6/+6を得て{wild}になる。
742.cardName;巨人の鍵
741.cardText;{options|緑のクリーチャーを1体{discover}する。|青のクリーチャーを1体{discover}する。|赤のクリーチャーを1体{discover}する。|黄色のクリーチャーを1体{discover}する。}\n色を選択する。選択した色のクリーチャーを{discover}する。それを{wild}にし、コストを{faeria|3}少なくする。
741.cardName;元素の鍵
740.cardText;{divine},{flying},{dash|5}\n味方クリーチャーに隣接するマスにのみ召喚できる。
740.cardName;守護者の槍
739.cardText;あなたの手札のカードのコストは{faeria|1}少なくなる。
739.cardName;忠順の像
738.cardText;{flying}, {dash|5}\n{gift} - あなたの手札を<b>フラッシュウィンド</b>でいっぱいにする。それらを{wild}にする。
738.cardName;魔法の絨毯
737.cardText;友好的なクリーチャー{gift}-{swallow}。\n{production}-嚥下されたクリーチャーは＋４/＋４を得る。\n{activate}.を破壊する。
737.cardName;クリスタリス
736.cardText;{charge|3}, {flying}\n{gift} - あなたのデッキの<b>宝の地図</b>を全て破壊し、破壊した数だけこのクリーチャーは+1/+1を得る。\n破壊した宝の地図: {dynamic_number|0|0}枚。
736.cardName;古代のガーゴイル
735.cardText;{charge|5}, {flying}\n{last_words} - 隣接する全ての敵に5ダメージを与える。
735.cardName;サイリアの球体
734.cardText;{jump}\nこのクリーチャーが移動した土地に隣接する全ての敵に3ダメージを与える。
734.cardName;一等航海士 ソロッコ
733.cardText;{flying}, {jump}
733.cardName;グライドホッパー
732.cardText;４かそれ以上の土地コスト {discover} カード。それを {wild}.にする。
732.cardName;サイリアの探検隊
731.cardText;{flying}, {dash|2}
731.cardName;エアボット
730.cardText;コスト{faeria|7}以上のレジェンド以外のカードを2枚{discover}する。それらを{wild}にする。
730.cardName;水晶のスパイス
729.cardText;対象のクリーチャー1体に+3/+3と{charge|3}、{flying}を与える。このターンに破壊された味方クリーチャーの数だけ、コストを{faeria|3}少なくする。
729.cardName;魂のスパイス
728.cardText;あなたの対戦相手のデッキからイベントを{discover}する。それを{wild}にし、コストを{faeria|2}少なくする。
728.cardName;物々交換
727.cardText;{flying}\n{gift} - あなたのデッキの一番上に<b>宝の地図</b>を1枚加える。\n{last_words} - あなたの手札にこのクリーチャーを戻す。
727.cardName;ガガナーの霊魂 アリアナ
726.cardText;{gift} - <b>宝の地図</b>を1枚デッキに加え、シャッフルする。
726.cardName;アマイの地図売人
724.cardText;レジェンダリーでないコスト {faeria|5} の{flying}\n{gift}-{discover} カード。あなたが引かなかったカードを２枚相手の手札に加える。それら全てを.{wild}.にする。
724.cardName;アマイの商人
723.cardText;{dash|1}\nあなたのターン終了時、このクリーチャーが対戦相手の土地にいる場合、あなたのデッキに<b>宝の地図</b>を2枚加え、シャッフルする。
723.cardName;ケルドランの冒険者
722.cardText;あなたのターン終了時、他の全ての味方のメカに+1/+1を与え、このクリーチャーは1ダメージを受ける。
722.cardName;屑鉄の集合体 ジャンクフィート
721.cardText;全ての味方のメカは隣接する敵に2ダメージを与える。
721.cardName;起爆
720.cardText;{combat} - 隣接するランダムなマスに4/2のメカ1体を召喚する。
720.cardName;分裂するもの
719.cardText;{production} - +3/+0を得る。
719.cardName;不安定な溶鉄器
717.cardText;{dash|1}\nあなたのターン終了時、このクリーチャーが対戦相手の土地にいる場合、あなたの手札1枚のコストを{faeria|1}少なくする。
717.cardName;オーガの冒険者
715.cardText;あなたはこのクリーチャーを緑以外の味方クリーチャーに隣接するマスにプレイしてもよい。
715.cardName;異国のペット
714.cardText;{taunt} を持つクリーチャーを1体{discover}する。それは{wild}になり、+0/+3を得る。
714.cardName;避難
713.cardText;{jump}\n隣接する味方のビーストは+2/+0を得る。
713.cardName;獣を愛するコダマ
712.cardText;{gift} - ビーストを1体{discover}する。それを{wild}にする。
712.cardName;ティキ族の動物学者
711.cardText;{dash|1}\nあなたのターン終了時、このクリーチャーが対戦相手の土地にいる場合、隣接する全ての味方クリーチャーに+1/+1を与える。
711.cardName;ティキ族の冒険者
710.cardText;{jump}\nあなたが宝物を発見するたび、このクリーチャーは+3/+3を得る。
710.cardName;ガガナーの船長 フーゴロ
709.cardText;{jump}\n{gift} - カードを3枚引く。その中に<b>宝の地図</b>が含まれていた場合、このクリーチャーは+2/+2を得る。
709.cardName;トライトンの占星家
707.cardText;{gift} - あなたのデッキに<b>宝の地図</b>を1枚加えシャッフルし、カードを1枚引く。
707.cardName;星殻の護り手
706.cardText;あなたのデッキに<b>宝の地図</b>を2枚加えシャッフルし、カードを1枚引く。
706.cardName;メッセージインアボトル
705.cardText;{jump}\n{gift} - このクリーチャーを移動させる。\nあなたのターン終了時、このクリーチャーが対戦相手の土地にいる場合、カードを1枚引く。
705.cardName;トライトンの冒険者
704.cardText;{flying}\n{gift} - あなたの手札のカード1枚につき、あなたのデッキに<b>宝の地図</b>を1枚加える。あなたの手札をデッキに戻してシャッフルし、同じ枚数だけカードを引く。
704.cardName;トレジャーシーカー ガガナー
703.cardText;{flying}, {charge|2}\n{gift} - あなたのデッキのカードすべてがデッキの中に同じ名前のカードをもたない場合、{haste}と{protection}を得る。\n{last_words} - このクリーチャーをデッキに加え、シャッフルする。
703.cardName;水晶の竜 チェレステ
702.cardText;隣接する敵ごとに友好的なクリーチャーを+1/+1与える。
702.cardName;シャーラーの閃き
701.cardText;あなたのターン終了時、あなたのデッキから<b>宝の地図</b>を見つけ出しデッキの一番上に置く。あなたのデッキに宝の地図がない場合、代わりに宝の地図を1枚デッキに加え、シャッフルする。
701.cardName;ガガナーの羅針儀
9985.cardText;全ての全画面アニメーションを再生する
9985.cardName;全て活性化する
