1.cardName;Chlapec z farmy
736.cardText;{charge|3}, {flying} {gift} - Zničí všechny <b>Mapy pokladů</b> ve vašem balíčku na kousky a za každou získá +1/+1.\nZničené mapy:{dynamic_number|0|0}.
736.cardName;Prastarý chrlič
735.cardText;{charge|5}, {flying}\n{last_words} Udělí 5 poškození přilehlým nepřátelům.
735.cardName;Thyrijský glóbus
734.cardText;{jump}\nUdělí 3 poškození všem nepřátelům přilehlým k místu dopadu.
734.cardName;Sorocco, první důstojník
733.cardText;{flying}, {jump}
733.cardName;Skokluzák
732.cardText;{discover} kartu vyžadující 4 nebo více pevnin. Bude {wild}.
732.cardName;Thyrijská expedice
731.cardText;{flying}, {dash|2}
731.cardName;Poletucha
730.cardText;{discover} 2 nelegendární karty s cenou {faeria|7} či více. Každá bude {wild}.
730.cardName;Krystalové koření
729.cardText;Přidá bytosti +3/+3, {charge|3} a vlastnost {flying}. Stojí o {faeria|3} méně za každou spojeneckou bytost, která v tomto tahu zemřela.
729.cardName;Koření duchů
728.cardText;{discover} událost z protihráčova balíčku. Bude {wild} a bude stát o {faeria|2} méně.
728.cardName;Směnný obchod
727.cardText;{flying}\n{gift} - Přidá navrch vašeho balíčku <b>Mapu pokladů</b>.\n{last_words} - Vrátí Aryanu do vaší ruky.
727.cardName;Aryana, duše Gagany
726.cardText;{gift} - Vmíchá do vašeho balíčku <b>Mapu pokladů</b>.
726.cardName;Amaiský prodavač map
724.cardText;{flying}\n{gift} - {discover} nelegendární kartu s cenou {faeria|5}. Přidá dvě karty, které jste nesebrali, soupeřovi do ruky. Všechny se stanou {wild}.
724.cardName;Amaiský obchodník
723.cardText;{dash|1}\nPokud je na konci vašeho tahu na nepřátelské pevnině, vmíchá do vašeho balíčku 2 <b>Mapy pokladů</b>.
723.cardName;Keldranský dobrodruh
722.cardText;Na konci vašeho tahu přidá všem ostatním Mechům +1/+1. Poté je mu uděleno 1 poškození.
722.cardName;Šrotošlap Smetihlav
721.cardText;Všichni spojenečtí Mechové udělí přilehlým napřátelům 2 poškození.
721.cardName;Odpálit
720.cardText;{combat} - Vyvolá na náhodné přilehlé pevnině Mecha (4/2).
720.cardName;Členitec
719.cardText;{production} - Získá +3/+0.
719.cardName;Nestálé výhňátko
717.cardText;{dash|1}\nPokud je na konci vašeho tahu na nepřátelské pevnině, sníží cenu jedné karty ve vaší ruce o {faeria|1}.
717.cardName;Zlobří dobrodruh
715.cardText;Smíte jej vyvolat vedle spojenecké nezelené bytosti.
715.cardName;Exotický mazlíček
714.cardText;{discover} bytost s vlastností {taunt}. Získá +0/+3 a bude {wild}.
714.cardName;Vyhledat útočiště
713.cardText;{jump}\nPřilehlé spojenecké Šelmy získají +2/+0.
713.cardName;Kodamský chovatel šelem
712.cardText;{gift} - {discover} Šelmu, která bude {wild}.
712.cardName;Tikijský zoolog
711.cardText;{dash|1}\nPokud je na konci vašeho tahu na nepřátelském území, přidá +1/+1 všem přilehlým spojeneckým bytostem.
711.cardName;Tikijský dobrodruh
710.cardText;{jump}\nVždy, když objevíte poklad, získá Fugoro +3/+3.
710.cardName;Fugoro, kapitán Gagany
709.cardText;{jump}\n{gift} - Líznete si 3 karty. Je-li některá z nich <b>Mapa pokladů</b>, získá hvězdář +2/+2.
709.cardName;Tritónský hvězdář
707.cardText;{gift} - Vmíchá do vašeho balíčku <b>Mapu pokladů</b>. Líznete si kartu.
707.cardName;Želhvězdný strážce
706.cardText;Vmíchá do vašeho balíčku 2 <b>Mapy pokladů</b>. Líznete si kartu.
706.cardName;Vzkaz v lahvi
705.cardText;{jump}\n{gift} - Pohněte touto bytostí.\nPokud na konci vašeho tahu stojí na nepřátelském území, líznete si kartu.
705.cardName;Tritónský dobrodruh
704.cardText;{flying}\n{gift} - Za každou kartu ve vaší ruce přidá do balíčku <b>Mapu pokladů</b>. Vmíchejte karty z ruky do balíčku a doberte si zpět stejný počet.
704.cardName;Gagana, lovec pokladů
703.cardText;{flying}, {charge|2}\n{gift} - Pokud se ve vašem balíčku každá karta nachází jen jednou, získá {haste} a {protection}.\n{last_words} - Vmíchá Celeste zpět do balíčku.
703.cardName;Celeste, krystalová saň
702.cardText;Za každého přilehlého nepřítele přidá spojenecké bytosti +1/+1.
702.cardName;Shařin vzor
701.cardText;Na konci vašeho tahu najde v balíčku <b>Mapu pokladů</b> a umístí ji navrch. Pokud v balíčku žádnou nemáte, namísto toho do něj jednu vmíchá.
701.cardName;Gaganský kompas
9985.cardText;Přehraje všechny globální animace
9985.cardName;Zanimovat vše
