1.cardName;Apprenti fermier
740.cardText;{divine},{flying},{dash|5}\nDoit être invoquée à côté d'une créature alliée.
740.cardName;Lance des Gardiens
739.cardText;Les cartes de votre main coûtent {faeria|1} de moins.
739.cardName;Simulacre d'obéissance
738.cardText;{flying}, {dash|5}\n{gift} - Remplit votre main de <b>Vents Éclair</b>. Ils deviennent {wild}.
738.cardName;Tapis Magique
737.cardText;{gift} - {swallow} une créature alliée.\n{production} - La créature gobée gagne +4/+4.\n{activate} - Détruit cette structure.
737.cardName;Cristalide
736.cardText;{charge|3}, {flying} {gift} - Déchire en lambeaux toutes les <b>Carte au Trésor</b> de votre deck et gagne +1/+1 pour chaque Carte au Trésor ainsi détruite.\nCartes au Trésor détruites:{dynamic_number|0|0}.
736.cardName;Gargouille antique
735.cardText;{charge|5}, {flying}\n{last_words} - Inflige 5 points de dégâts à tous les ennemis adjacents.
735.cardName;Globe Thyrian
734.cardText;{jump}\nLà où il atterrit, inflige 3 points de dégâts à tous les ennemis adjacents.
734.cardName;Sorocco, Commandant en Second
733.cardText;{flying}, {jump}
733.cardName;Voltigeur
732.cardText;{discover} une carte coûtant au moins 4 terrains. Elle devient {wild}.
732.cardName;Expédition thyrianne
731.cardText;{flying}, {dash|2}
731.cardName;Aérobot
730.cardText;{discover} deux cartes non légendaires coûtant {faeria|7} ou plus. Elles deviennent {wild}.
730.cardName;Épice cristalline
729.cardText;Donne +3/+3, {charge|3} et {flying} à une créature. Coûte {faeria|3} de moins par créature alliée morte ce tour.
729.cardName;Épice spirituelle
728.cardText;{discover} un événement du deck de votre adversaire. Il devient {wild} et coûte {faeria|2} de moins.
728.cardName;Marchandage
727.cardText;{flying}\n{gift} - Ajoute une <b>Carte au Trésor</b> au-dessus de votre pioche.\n{last_words} - Aryana retourne dans votre main.
727.cardName;Aryana, Âme du Gagana
726.cardText;{gift} - Mélange une <b>Carte au Trésor</b> dans votre deck.
726.cardName;Vendeur de Cartes Amai
724.cardText;{flying}\n{gift} - {discover} une carte non-légendaire coûtant {faeria|5} ou plus. Ajoute les deux cartes que vous n'avez pas choisi à la main de votre adversaire. Ces trois cartes deviennent {wild}.
724.cardName;Marchand Amai
723.cardText;{dash|1}\nÀ la fin de votre tour, s'il est sur un terrain ennemi, mélange deux <b>Cartes au Trésor</b> dans votre deck.
723.cardName;Aventurier Keldran
722.cardText;A la fin de votre tour, donne +1/+1 à tous les Mechas alliés et subit un point de dégâts.
722.cardName;Rouillepieds, Décharge Ambulante
721.cardText;Tous les Mechas alliés infligent 2 points de dégâts aux ennemis adjacents.
721.cardName;Détonation
720.cardText;{combat} - Invoque un Mecha 4/2 sur un terrain adjacent aléatoire.
720.cardName;Fragmenteur
719.cardText;{production} - Gagne +3/+0.
719.cardName;Forgelin détraqué
717.cardText;{dash|1}\nÀ la fin de votre tour, s'il est sur un terrain ennemi, réduit le coût d'une carte de votre main de {faeria|1}.
717.cardName;Aventurier Ogre
715.cardText;Vous pouvez jouer cette carte sur un terrain adjacent à une créature alliée non verte.
715.cardName;Animal Exotique
714.cardText;{discover} une créature avec {taunt}. Elle devient {wild} et gagne +0/+3.
714.cardName;Tous aux abris !
713.cardText;{jump}\nLes Bêtes adjacentes gagnent +2/+0.
713.cardName;Kodama ami des bêtes
712.cardText;{gift} - {discover} une Bête. Elle devient {wild}.
712.cardName;Zoologiste Tiki
711.cardText;{dash|1}\nÀ la fin de votre tour, s'il est sur un terrain ennemi, donne +1/+1 à toutes les créatures alliées adjacentes.
711.cardName;Aventurier Tiki
710.cardText;{jump}\nÀ chaque fois que vous découvrez un Trésor, Fugoro gagne +3/+3.
710.cardName;Fugoro, Capitaine du Gagana
709.cardText;{jump}\n{gift} - Piochez 3 cartes. Si l'une d'elles est une <b>Carte au Trésor</b>, gagne +2/+2.
709.cardName;Triton Ouranoscope
707.cardText;{gift} - Mélange une <b>Carte au Trésor</b> dans votre deck. Vous piochez une carte.
707.cardName;Veilleur Coqu'étoile
706.cardText;Mélange deux <b>Cartes au Trésor</b> dans votre deck. Vous piochez une carte.
706.cardName;Bouteille à la mer
705.cardText;{jump}\n{gift} - Déplacez cette créature.\nÀ la fin de votre tour, si elle est sur un terrain ennemi, piochez une carte.
705.cardName;Aventurier Triton
704.cardText;{flying}\n{gift} - Pour chaque carte dans votre main, ajoute une <b>Carte au Trésor</b> à votre deck. Mélange les cartes de votre main dans votre deck. Vous en repiochez autant.
704.cardName;Gagana, Chasseur de Trésor
703.cardText;{flying}, {charge|2}\n{gift} - Si votre deck ne contient que des cartes en un exemplaire, gagne {haste} et {protection}.\n{last_words} - Mélange à nouveau Céleste dans votre deck.
703.cardName;Céleste, Dragon de Cristal
702.cardText;Donne +1/+1 à une créature alliée pour chaque ennemi adjacent.
702.cardName;Inspiration de Sharra
701.cardText;À la fin de votre tour, trouve une <b>Carte au Trésor</b> de votre deck et la place au-dessus. S'il n'en contient aucune, en mélange une dedans à la place.
701.cardName;Boussole de Gagana
9985.cardText;Jouer toutes les animations
9985.cardName;Animer tous les trucs
