1.cardName;Bauernjunge
680.cardText;{gift} - Verwandle eine gegnerische Kreatur in ein 5/3 <b>dlibgurT setrrezreV</b>.
685.cardName;Kokon
685.cardText;{gift} - {swallow} eine verbündete Kreatur.\n{production} - Die verschlungene Kreatur erhält +1/+1.\n{activate} - Zerstöre dies.
686.cardName;Botschafter der Pflanzenwelt
686.cardText;{last_words} - Gib allen Kreaturen in deiner Hand +1/+1.
692.cardName;Retter der Sanftmütigen
692.cardText;{gift} - Gib einer verbündeten Kreatur mit genau 1 Angriff +2/+2 und {divine}.
694.cardName;Hydrakopf
694.cardText;{haste}\nStirbt am Ende des Zuges
695.cardName;Yakwächter
695.cardText;{flying}, {taunt}
696.cardName;Yakbaby
696.cardText;{taunt}\nKann kein Faeria sammeln.
697.cardName;Dünendrache
697.cardText;{charge|2}, {flying}\nKann kein Faeria sammeln.
698.cardName;dlibgurtlegeipS
698.cardText;{gift} - Verwandle eine verbündete Kreatur in ein 3/5 <b>Verzerrtes Trugbild</b>.
699.cardName;Rakoaner
9991.cardName;Gib Eile
9992.cardName;Faeria her
9992.cardText;Erhalte {faeria|100} und platziere zufällig ein Land jeder Farbe.
9993.cardName;Stirb!
9993.cardText;Füge 100 Schaden zu.
9994.cardName;Berg
9995.cardName;See
9996.cardName;Wüste
9997.cardName;Wald
9998.cardName;Prärie
9999.cardName;Sphäre
682.cardName;Gezeitenlord
682.cardText;{jump}\nKann neben angrenzenden verbündeten Tritons beschworen werden. Wenn dies passiert, erhält diese Kreatur +1/+1.
670.cardName;Ruhelose Hülle
670.cardText;Am Ende deines Zugs, wenn dein Gegner mehr als 4 Karten in der Hand hat, ziehe 1 Karte und entziehe deinem Gegner 1 Leben.
675.cardName;Llamacorn
675.cardText;{combat} - Jeder Spieler zieht eine Karte und erhält 2 Leben.
681.cardName;Triton Taktiker
681.cardText;{jump}\n{gift} - Erhält +1/+0 für jeden angrenzenden verbündeten Triton.
683.cardName;Lebendiges Bankett
683.cardText;{dash|1}\nAm Ende deiner Runde verschlingt eine zufällige angrenzende verbündete Kreatur dies und erhält +1/+1.
688.cardName;Blühendes Kodama
688.cardText;{gift} - Erschaffe {green}{green}{green} auf zufälligen Feldern.
689.cardName;Wirbelwindfuchs
689.cardText;Immer wenn diese Kreatur {green} betritt, kann sie auf {green} unter deiner Kontrolle teleportiert werden.
691.cardName;Siegesfeier
691.cardText;Für den Rest des Spiels erhält jeder Spieler {faeria|1} mehr pro Runde.
9989.cardName;Übernehme die Kontrolle eines Landes
9990.cardName;Übernehme die Kontrolle
657.cardText;{flying}\nKarten in deiner Hand sind {wild}.\n{gift} - Nimm ein zufälliges Mannschaftsmitglied der Gagana auf die Hand. Es kostet {faeria|0}.
657.cardName;Gagana, Regenbogen Vogelschiff
652.cardText;Wenn eine andere verbündete Kreatur ihre {corrupt} Fähigkeit auslöst, entziehe deinem Gegner 2 Leben.
652.cardName;Versklavter Prister
9988.cardText;Gib einer Kreatur {haste}.
9988.cardName;Angriff!
9987.cardText;{activate} - Ziehe eine Karte.
9987.cardName;Turm der Weisheit
690.cardText;Immer wenn Dwordia {green} betritt, kann er auf {green} unter deiner Kontrolle teleportiert werden. Passiert dies, erhält er +1/+1.
690.cardName;Dwordia, Häuptling des Stammes des Strahlenden Fuchses
687.cardText;{gift} - Gib der nächsten Kreatur, die du ziehst, +2/+4.
687.cardName;Priester des Ewigen Lebens
684.cardText;Diese Kreatur kann in der Runde Faeria sammeln, in der sie gespielt wurde.\n{gift} - Du kannst das Land, auf dem diese Kreatur steht, einmal bewegen.
684.cardName;Korallenkaulquappe
674.cardText;{gift} - Wenn dies deine einzige Kreatur ist, erhält sie {taunt},{protection} und {divine}.
674.cardName;Ulani, Verteidigerin der Himmelswelt
673.cardText;{gift} - Wenn du keine Kreaturen mehr in deinem Deck hast, mische <b>Silberstrahl, Imperiales Lufschiff</b> und 10 zufällige neutrale Kreaturen in dein Deck. Sie erhaIten +2/+2.
673.cardName;Banon, Kapitän von Silberstrahl
9986.cardText;Wirft ihre Hand ab.
9986.cardName;Zeige KI Hand.
800.cardText;Ziehe eine Karte.\nNachdem du drei <b>Schatzkarten</b> gespielt hast, {discover} stattdessen einen </b>Schatz von Gagana</b>\nKarten gespielt: {dynamic_number|0|0}.
800.cardName;Schatzkarte
749.cardText;Biep biep.
749.cardName;Mecha
746.cardText;Biep boop.
746.cardName;Mecha
745.cardText;{taunt},{divine}
745.cardName;Wächter
744.cardText;{taunt},{divine}
744.cardName;Wächter
743.cardText;Beschwöre zwei 5/5 Wächter mit {taunt} und {divine}.
743.cardName;Schlüssel der Wächter
742.cardText;{discover} eine Kreatur. Sie erhält +6/+6 und wird {wild}.
742.cardName;Schlüssel der Riesen
741.cardText;{options|{discover} eine grüne Kreatur.|{discover} eine blaue Kreatur.|{discover} eine rote Kreatur.|{discover} eine gelbe Kreatur.}\nWähle eine Farbe.{discover} eine Kreatur derselben Farbe. Sie wird {wild} und kostet {faeria|3} weniger.
741.cardName;Schlüssel der Elemente
740.cardText;{divine},{flying},{dash|5}\n Muss neben einer verbündeten Kreatur beschworen werden.
740.cardName;Speer der Wächter
739.cardText;Karten in deiner Hand kosten {faeria|1} weniger.
739.cardName;Abbild der Gehorsamkeit
738.cardText;{flying},{dash|5}\n{gift} - Fülle deine Hand mit <b>Plötzlicher Windstoß</b>. Sie werden {wild}.
738.cardName;Magischer Teppich
737.cardText;{gift} - {swallow} eine verbündete Kreatur.\n{production} - Die verschluckte Kreatur erhätl +4/+4.\n{activate}-Zerstöre diese Struktur.
737.cardName;Krystallis
736.cardText;{charge|3}, {flying}{gift} - Zerstöre alle <b>Schatzkarten</b> in deinem Deck und erhalte +1/+1 für jede zerstörte Karte.\nZerstörte Karten:{dynamic_number|0|0}.
736.cardName;Uralter Gargoyle
735.cardText;{charge|5}, {flying}\n{last_words} Verursache 5 Schaden an allen benachbarten Gegnern.
735.cardName;Thyrianischer Globus
734.cardText;{jump}\nFüge allen benachbarten Gegnern 3 Schaden zu, wenn diese Karte landet.
734.cardName;Sorocco, Erster Maat
733.cardText;{flying}, {jump}
733.cardName;Gleitschirmhüpfer
732.cardText;{discover} eine Karte mit 4 oder mehr Landkosten. Sie wird {wild}.
732.cardName;Thyrianische Expedition
731.cardText;{flying}, {dash|2}
731.cardName;Luftbot
730.cardText;{discover} 2 nichtlegendäre Karten die {faeria|7} oder mehr kosten. Sie werden {wild}.
730.cardName;Kristallgewürz
729.cardText;Gib einer Kreatur +3/+3, {charge|3} und {flying}. Kostet {faeria|3} weniger für jede verbündete Kreatur die in diesem Zug gestorben ist.
729.cardName;Geistergewürz
728.cardText;{discover} ein Ereignis vom Deck deines Gegners. Es wird {wild} und kostet {faeria|2} weniger.
728.cardName;Feilschen
727.cardText;{flying}\n{gift} - Füge eine <b>Schatzkarte</b> oben auf deinem Deck hinzu.\n{last_words} - Gib Aryana in deine Hand zurück.
727.cardName;Aryana, Seele von Gargana
726.cardText;{gift} - Mische eine <b>Schatzkarte</b> in dein Deck.
726.cardName;Kartenhändler der Amai
724.cardText;{flying}\n{gift} - {discover} eine nicht-legendäre Karte, die {faeria|5} kostet. Füge die 2 Karten hinzu, die du nicht aus dem Blatt deines Gegners gewählt hast. Sie werden alle {wild}.
724.cardName;Händler der Amai
723.cardText;{dash|1}\n Am Ende deines Zuges, falls sich diese Kreatur auf einem gegnerischen Land befindet, mische zwei <b>Schatzkarten</b> in dein Deck.
723.cardName;Keldran Abenteurer
722.cardText;Am Ende deines Zuges, gib allen anderen verbündeten Mecha +1/+1 und verursache 1 Schaden an dieser Kreatur.
722.cardName;Schrottfuß, der Ramschhaufen
721.cardText;Alle verbündeten Mecha verursachen 2 Schaden an allen benachbarten Gegnern.
721.cardName;Detonieren
720.cardText;{combat} - Beschwöre einen 4/2 Mecha auf einem zufälligen benachbarten Feld.
720.cardName;Fragmentierer
719.cardText;{production} - Erhalte +3/+0.
719.cardName;Instabiler Schmiedling
717.cardText;{dash|1}\n Am Ende deines Zuges, reduziere die Kosten einer Karte in deiner Hand um {faeria|1} falls sich diese Kreatur auf einem gegnerischen Land befindet.
717.cardName;Oger Abenteurer
715.cardText;Du kannst diese Kreatur neben einer verbündeten nicht-grünen Kreatur ausspielen.
715.cardName;Exotisches Haustier
714.cardText;{discover} eine Kreatur mit {taunt}. Sie wird {wild} und erhält +0/+3.
714.cardName;Suche Schutz
713.cardText;{jump}\n Angrenzende verbündete Bestien haben +2/+0.
713.cardName;Kodama Bestienzähmer
712.cardText;{gift} - {discover} eine Bestie. Sie wird {wild}.
712.cardName;Tiki Tierkundler
711.cardText;{dash|1}\n Am Ende deines Zuges, falls sich diese Kreatur auf einem gegnerischen Land befindet, gib allen benachbarten, verbündeten Kreaturen +1/+1.
711.cardName;Tiki Abenteurer
710.cardText;{jump}\n Wann immer du einen Schatz entdeckst, erhält Fugoro +3/+3.
710.cardName;Fugoro, Captain der Gagana
709.cardText;{jump}\n{gift} - Ziehe 3 Karten. Falls mindestens eine von ihnen eine <b>Schatzkarte<\b> ist, erhält diese Kreatur +2/+2.
709.cardName;Triton Sternenseher
707.cardText;{gift} - Mische eine <b> Schatzkarte </b> in dein Deck und ziehe eine Karte.
707.cardName;Sternschalenbewacher
706.cardText;Mische 2 <b> Schatzkarte </b> in dein deck und ziehe eine Karte.
706.cardName;Flaschenpost
705.cardText;{jump}\n{gift}-Bewege diese Kreatur.\nAm Ende deines Zuges, ziehe eine Karte falls diese Kreatur sich auf einem gegnerischen Land befindet.
705.cardName;Triton Abenteurer
704.cardText;{flying}\n{gift} - Für jede Karte in deiner Hand, mische eine <b>Schatzkarte</b> in dein Deck. Mische deine Hand in dein Deck und ziehe dieselbe Anzahl Karten.
704.cardName;Gagana, Schatzsucher
703.cardText;{flying},{charge|2}\n{gift} - Wenn dein Deck nur eine Kopie jeder Karte enthält, erhält dies {haste} und {protection}.\n{last_words} - Mische Celeste zurück in dein Deck.
703.cardName;Celeste, Kristalldrache
702.cardText;Gib einer verbündeten Kreatur +1/+1 für jeden benachbarten Gegner.
702.cardName;Sharra's Inspiration
701.cardText;Am Ende deines Zugs, suche eine <b> Schatzkarte </b> in deinem Deck und lege sie obenauf. Wenn dein Deck keine Schatzkarten enthält, mische stattdessen eine hinein.
701.cardName;Kompass der Gagana
9985.cardText;Spiele alle globalen Animationen.
9985.cardName;Animiert all die Dinge!
